,出演時間,村民名 or ユニット名
1,10:30-10:50,おいしいなぁ蜜柑
2,10:50-11:10,古代フォーク村
3,11:10-11:25,そこはかとなく龍郎
4,11:25-11:45,さくらさく
5,11:45-12:05,ミゴサーノのミゴ
6,12:05-12:25,おうちすっきー
,,　
,12:25-13:25,(休憩)
,,　
7,13:25-13:45,仏＋芽衣子
8,13:45-14:00,バジル
9,14:00-14:20,ラグランジュ
10,14:20-14:35,かじます
11,14:35-14:55,みずきさくら
12,14:55-15:10,キャシーMAX
13,15:10-15:25,穂間布稀
,,　
,15:25-16:00,(休憩)
,,　
14,16:00-16:20,さけのりしょうじ
15,16:20-16:35,全増高専
16,16:35-16:50,9%ももの
17,16:50-17:05,デデデ粉
18,17:05-17:20,珍道中花子
19,17:20-17:35,てふこ
,,　
,17:35,(終了)
