,開始時間,バンド名,コピーバンド元
,<b>バンドの部</b>,,
1,11:00〜,Going ni Study,GOING STEADY
2,11:25〜,Duquesne Train,Jimi Hendrix
3,11:50〜,SPYWAY,SPYAIR
4,12:10〜,皿宇宙人,Syrup16g
5,12:35〜,矢沢ニコ,VOCALOID
6,13:00〜,スーパーマザーコンプレックス,YUKI
,(休憩),,
,<b>弾き語りの部</b>,,
7,14:00〜,超髭男,
8,14:20〜,奥下琴味,
9,14:40〜,ヒラヨネ,コブクロ
10,14:55〜,ぱぴこ,
11,15:15〜,こたつ,
12,15:35〜,珍妙花子,奇妙礼太郎
,(休憩),,
,<b>バンドの部</b>,,
13,16:05〜,the hellos,the pillows
14,16:30〜,DEDEDEGARDEN,ELLEGARDEN
15,16:55〜,AmoneDay,GreenDay
16,17:20〜,くれいじい五臓六腑,はっぴいえんど
17,17:45〜,割り勘関数ジェネレーター,ASIAN KUNG-FU GENERATION
