,出演時間,バンド名,コピーバンド元
1,12:00-12:20,マウイtheミッション,MAN WITH A MISSION
2,12:25-12:45,あの日落とした単位の数を僕達はまだ知らない,Galileo Galilei
3,12:50-13:10,ホットペッパー,チャットモンチー
4,13:15-13:35,おいしいなぁ蜜柑,椎名林檎
,,　,
,,(休憩),
,,　,
5,14:15-14:35,オールドファッション,オムニバス
6,14:40-15:00,ココッシュ,YUI
7,15:05-15:25,矢沢さんPfeat.もえっぽいど,ボーカロイド
8,15:30-15:50,ガールズバンド(仮),ボーカロイド
9,15:55-15:15,シン・バジル,Cymbals
10,15:20-15:35,SUUMOGARDEN,ELLEGARDEN
,,　,
,,(休憩),
,,　,
11,17:15-17:35,bet on chocolate,BUMP OF CHICKEN
12,17:40-18:05,the Easpots,Cribs
13,18:10-18:30,the offpacoring,the offspring
14,18:35-18:55,the Cigar dog,10-FEET
15,19:00-19:25,やばいTシャツのバンド,ヤバイTシャツ屋さん
,,　,
,19:25,(終了),
